id,postId,views,reach,likes,reposts,comments,clicksToLink,system
4517,4516,1336,517,1,0,0,0,ok
4516,4515,1268,445,1,0,0,1,ok
4515,4514,1238,462,1,0,0,3,ok
4514,4513,1298,478,4,0,0,8,ok
4513,4512,1360,490,1,0,0,5,ok
4512,4511,1339,487,1,0,0,6,ok
4511,4510,1373,507,2,0,0,3,ok
4510,4509,1381,494,4,0,0,8,ok
4509,4508,1411,495,2,0,0,13,ok
4508,4507,1641,587,5,0,0,0,ok
4507,4506,1374,502,2,0,0,2,ok
4506,4505,1360,474,1,0,0,3,ok
4505,4504,1435,512,0,0,1,2,ok
4504,4503,1538,562,6,1,0,2,ok
4503,4502,1427,495,2,1,0,2,ok
4502,4501,1386,481,1,0,0,0,ok
4501,4500,1470,510,1,0,0,5,ok
4500,4499,1682,653,4,1,0,0,ok
4499,4498,1469,513,6,0,0,0,ok
4498,4497,1528,554,2,0,0,1,ok
4497,4496,1333,481,1,0,0,7,ok
4496,4495,1296,474,1,0,0,2,ok
4495,4494,1347,471,1,0,0,6,ok
4494,4493,1183,423,1,0,0,2,ok
4493,4492,1220,459,3,1,0,4,ok
4492,4491,1226,463,2,0,0,0,ok
4491,4490,1109,420,2,0,0,0,ok
4490,4489,1087,369,2,0,0,4,ok
4489,4488,1151,420,2,0,0,3,ok
4488,4487,1149,407,4,0,0,17,ok
4487,4486,1168,419,3,0,0,9,ok
4486,4485,1171,417,1,0,0,2,ok
4485,4484,1123,410,1,0,0,0,ok
4484,4483,1628,660,13,1,0,0,ok
4483,4482,1056,398,1,0,0,1,ok
4482,4481,1062,416,3,0,0,5,ok
4481,4480,1019,404,1,0,0,3,ok
4480,4479,1029,414,1,0,0,1,ok
4479,4478,1061,411,1,0,0,5,ok
4478,4477,1159,473,2,0,0,5,ok
4477,4476,1207,497,2,0,0,2,ok
4476,4475,1744,740,27,2,0,0,ok
4475,4474,1125,454,1,0,0,1,ok
4474,4473,1170,460,2,0,0,4,ok
4473,4472,1127,440,2,0,0,1,ok
4472,4471,1144,420,2,0,0,0,ok
4471,4470,1143,442,1,0,0,3,ok
4470,4469,1188,474,3,0,0,4,ok
4469,4468,1180,466,1,0,0,1,ok
4468,4467,1258,486,2,0,0,0,ok
4467,4466,1267,426,2,0,0,2,ok
4466,4465,1259,455,3,0,0,4,ok
4465,4464,1226,449,3,0,0,6,ok
4464,4463,1179,420,1,0,0,0,ok
4463,4462,1212,474,2,0,0,1,ok
4462,4461,1254,510,2,0,0,1,ok
4461,4460,1242,471,2,0,0,4,ok
4460,4459,1326,489,1,0,0,1,ok
4459,4458,1365,530,4,1,0,10,ok
4458,4457,1466,545,3,0,1,0,ok
4457,4456,1299,482,2,0,0,5,ok
4456,4455,1433,528,3,0,0,8,ok
4455,4454,1436,522,3,0,0,0,ok
4454,4453,1748,701,14,0,0,0,ok
4453,4452,1456,545,1,0,0,1,ok
4452,4451,1553,603,3,0,0,0,ok
4451,4450,1572,605,4,0,0,5,ok
4450,4449,1483,571,3,0,0,2,ok
4449,4448,1452,549,2,0,0,1,ok
4448,4447,1532,629,2,0,0,4,ok
4447,4446,1570,664,3,0,0,6,ok
4446,4445,1377,576,1,0,0,9,ok
4445,4444,1780,778,9,0,2,0,ok
4444,4443,1269,543,1,0,0,2,ok
4443,4442,1359,549,2,0,0,11,ok
4442,4441,1364,562,1,0,0,2,ok
4441,4440,1380,562,2,0,0,3,ok
4440,4439,1453,592,2,0,0,4,ok
4439,4438,1420,575,1,0,0,1,ok
4438,4437,1555,638,1,0,0,0,ok
4437,4436,1542,605,1,1,0,1,ok
4436,4435,1631,636,4,1,0,2,ok
4435,4434,1770,638,1,1,0,3,ok
4434,4433,1599,580,1,0,0,1,ok
4433,4432,1652,614,2,0,0,5,ok
4432,4431,1617,601,2,0,0,14,ok
4431,4430,1469,517,4,0,0,0,ok
4430,4429,1528,569,2,0,0,4,ok
4429,4428,1477,533,1,0,0,2,ok
4428,4427,1658,585,2,0,0,0,ok
4427,4426,1659,601,1,0,1,1,ok
4426,4425,1653,599,4,0,0,3,ok
4425,4424,1883,711,6,1,0,0,ok
4424,4423,1645,594,2,1,0,3,ok
4423,4422,1561,538,2,0,0,1,ok
4422,4421,1594,568,2,0,0,8,ok
4421,4420,1551,543,0,0,0,1,ok
4420,4419,1432,503,4,0,0,3,ok
4419,4418,1417,513,2,0,0,4,ok
4418,4417,1429,513,1,0,0,8,ok
4417,4416,1288,462,1,0,0,3,ok
4416,4415,1266,448,0,0,0,2,ok
4415,4414,1096,374,0,0,0,3,ok
4414,4413,1106,396,2,0,0,6,ok
4413,4412,1186,419,2,0,0,7,ok
4412,4411,1158,388,0,0,0,1,ok
4411,4410,1530,549,13,1,0,0,ok
4410,4409,1011,352,0,0,0,0,ok
4409,4408,1095,367,1,0,0,3,ok
4408,4407,1065,366,1,0,0,1,ok
4407,4406,1078,372,1,0,0,1,ok
4406,4405,1109,402,0,0,0,2,ok
4405,4404,1165,392,0,0,0,4,ok
4404,4403,1400,523,8,0,0,0,ok
4403,4402,1100,405,1,0,0,0,ok
4402,4401,1107,395,1,0,0,4,ok
4401,4400,1100,369,0,0,0,0,ok
4400,4399,1159,380,1,0,0,2,ok
4399,4398,1165,404,1,0,0,0,ok
4398,4397,1202,435,1,0,0,1,ok
4397,4396,1290,473,5,0,0,4,ok
4396,4395,1395,507,6,0,0,0,ok
4395,4394,1289,449,0,1,1,1,ok
4394,4393,1189,390,3,0,0,3,ok
4393,4392,1146,396,3,0,0,5,ok
4392,4391,1113,386,2,0,0,3,ok
4391,4390,1166,396,2,0,1,1,ok
4390,4389,1179,402,2,0,0,3,ok
4389,4388,1338,474,0,1,0,0,ok
4388,4387,1194,388,3,0,0,1,ok
4387,4386,1143,367,0,0,0,2,ok
4386,4385,1200,382,0,0,0,0,ok
4385,4384,1209,386,1,0,0,4,ok
4384,4383,1280,398,0,0,0,3,ok
4383,4382,1322,435,1,0,0,3,ok
4382,4381,1317,432,2,0,0,2,ok
4381,4380,1446,503,1,0,0,0,ok
4380,4379,1209,401,0,0,0,4,ok
4379,4378,1259,459,2,0,0,0,ok
4378,4377,1271,452,4,0,0,9,ok
4377,4376,1249,435,0,0,0,1,ok
4376,4375,1323,435,0,0,0,6,ok
4375,4374,1296,431,0,0,0,4,ok
4374,4373,1228,407,1,0,0,2,ok
4373,4372,1199,402,0,0,0,3,ok
4372,4371,1369,508,9,0,0,0,ok
4371,4370,1075,356,1,0,0,1,ok
4370,4369,1072,362,2,0,0,0,ok
4369,4368,1048,332,0,0,0,1,ok
4368,4367,1099,346,0,0,0,1,ok
4367,4366,1270,437,3,0,0,0,ok
4366,4365,982,316,0,0,0,2,ok
4365,4364,1038,342,3,0,0,6,ok
4364,4363,1014,331,1,0,0,8,ok
4363,4362,1027,318,0,0,0,4,ok
4362,4361,1017,340,0,0,0,3,ok
4361,4360,1037,349,0,0,0,0,ok
4360,4359,1061,349,0,0,0,4,ok
4359,4358,1082,360,1,0,0,1,ok
4358,4357,1241,451,4,0,0,0,ok
4357,4356,995,334,0,0,1,2,ok
4356,4355,985,317,0,0,0,1,ok
4355,4354,1035,343,1,0,0,7,ok
4354,4353,1051,340,0,0,0,3,ok
4353,4352,1089,386,0,0,0,4,ok
4352,4351,1124,392,0,0,0,1,ok
4351,4350,1210,422,2,0,0,3,ok
4350,4349,1079,379,0,0,0,0,ok
4349,4348,1084,367,1,0,0,4,ok
4348,4347,1043,350,0,0,0,5,ok
4347,4346,1080,376,2,0,0,11,ok
4346,4345,1125,395,1,0,0,2,ok
4345,4344,1064,389,0,0,0,2,ok
4344,4343,1105,377,0,0,0,3,ok
4343,4342,1085,396,1,0,0,0,ok
4342,4341,1209,396,2,0,0,4,ok
4341,4340,1058,385,0,0,0,1,ok
4340,4339,1083,386,0,0,0,3,ok
4339,4338,1101,376,0,0,0,1,ok
4338,4337,1201,416,1,0,0,7,ok
4337,4336,1159,398,0,0,0,4,ok
4336,4335,1173,407,0,0,0,1,ok
4335,4334,1207,429,2,0,0,1,ok
4334,4333,1256,455,1,0,0,2,ok
4333,4332,1324,445,1,0,0,6,ok
4332,4331,1299,442,0,0,0,1,ok
4331,4330,1492,518,5,0,0,0,ok
4330,4329,1494,452,1,0,0,0,ok
4329,4328,1300,434,1,0,0,4,ok
4328,4327,1329,449,1,0,0,4,ok
4327,4326,1399,440,3,0,0,1,ok
4326,4325,1413,478,0,0,0,8,ok
4325,4324,1428,484,1,0,0,6,ok
4324,4323,1425,463,1,0,0,0,ok
4323,4322,1432,478,2,0,0,2,ok
4322,4321,1408,470,0,0,1,5,ok
4321,4320,1373,474,1,0,0,8,ok
4320,4319,1180,416,0,0,0,1,ok
4319,4318,1192,425,2,0,0,2,ok
4318,4317,1290,465,3,0,0,0,ok
4317,4316,1089,379,1,0,0,8,ok
4316,4315,1132,393,0,0,0,4,ok
4315,4314,1093,374,2,0,0,3,ok
4314,4313,1167,380,2,0,0,3,ok
4313,4312,1152,383,2,0,0,1,ok
4312,4311,1224,420,3,0,0,0,ok
4311,4310,1064,328,0,0,0,2,ok
4310,4309,1052,363,1,0,0,1,ok
4309,4308,1086,385,2,0,0,6,ok
4308,4307,1096,369,2,0,0,5,ok
4307,4306,1149,386,0,1,0,2,ok
4306,4305,1116,388,0,0,0,0,ok
4305,4304,1093,366,0,0,0,1,ok
4304,4303,1291,463,2,1,0,0,ok
4303,4302,1034,362,0,0,0,1,ok
4302,4301,1054,370,1,0,0,0,ok
4301,4300,1059,377,0,0,0,1,ok
4300,4299,1132,374,0,0,0,1,ok
4299,4298,1216,414,1,0,0,6,ok
4298,4297,1152,377,0,0,0,4,ok
4297,4296,1394,495,4,0,0,0,ok
4296,4295,1085,373,0,0,0,0,ok
4295,4294,1119,379,0,0,0,0,ok
4294,4293,1162,407,1,0,0,7,ok
4293,4292,1238,442,0,2,0,3,ok
4292,4291,1165,404,2,0,0,3,ok
4291,4290,1157,407,0,0,0,0,ok
4290,4289,1340,489,4,0,0,0,ok
4289,4288,1151,420,2,0,0,3,ok
4288,4287,1195,401,1,0,0,2,ok
4287,4286,1263,422,0,0,0,3,ok
4286,4285,1223,422,0,0,0,2,ok
4285,4284,1314,428,2,0,0,8,ok
4284,4283,1307,451,1,0,0,1,ok
4283,4282,1310,448,1,0,0,2,ok
4282,4281,1380,476,1,0,0,4,ok
4281,4280,1449,512,1,0,0,0,ok
4280,4279,1333,442,0,0,0,7,ok
4279,4278,1363,462,4,0,0,1,ok
4278,4277,1258,462,1,1,0,4,ok
4277,4276,1213,413,2,0,0,4,ok
4276,4275,1236,437,1,0,1,3,ok
4275,4274,1045,355,1,0,0,2,ok
4274,4273,1108,355,3,0,0,4,ok
4273,4272,1084,350,0,0,0,0,ok
4272,4271,1062,345,0,0,0,0,ok
4271,4270,1072,345,1,0,0,3,ok
4270,4269,1167,373,2,0,0,1,ok
4269,4268,1334,478,5,0,0,0,ok
4268,4267,1060,359,0,0,0,3,ok
4267,4266,1011,349,0,0,0,2,ok
4266,4265,1056,362,2,0,0,3,ok
4265,4264,1111,377,0,0,0,8,ok
4264,4263,1179,411,1,0,0,12,ok
4263,4262,1153,407,1,0,0,3,ok
4262,4261,1190,435,1,0,0,4,ok
4261,4260,1296,457,5,0,0,0,ok
4260,4259,1063,352,0,0,0,2,ok
4259,4258,1216,420,1,0,2,3,ok
4258,4257,1129,389,1,0,0,3,ok
4257,4256,1154,386,0,0,0,2,ok
4256,4255,1261,454,5,0,0,4,ok
4255,4254,1497,520,7,1,0,6,ok
4254,4253,1078,385,1,0,0,1,ok
4253,4252,1113,380,1,0,0,2,ok
4252,4251,1109,388,0,0,0,4,ok
4251,4250,1130,399,0,0,0,3,ok
4250,4249,1172,420,1,0,0,2,ok
4249,4248,1257,428,4,0,0,0,ok
4248,4247,1258,407,1,0,0,0,ok
4247,4246,1340,426,3,1,0,2,ok
4246,4245,1485,495,5,0,0,0,ok
4245,4244,1157,416,3,0,0,0,ok
4244,4243,1155,396,2,0,0,0,ok
4243,4242,1214,402,1,0,0,4,ok
4242,4241,1234,429,1,0,0,2,ok
4241,4240,1359,442,1,0,0,5,ok
4240,4239,1296,438,1,0,0,1,ok
4239,4238,1300,449,1,0,0,1,ok
4238,4237,1452,532,11,0,0,0,ok
4237,4236,1278,446,2,0,0,2,ok
4236,4235,1279,432,3,0,0,4,ok
4235,4234,1294,459,2,0,0,2,ok
4234,4233,1450,537,7,0,0,0,ok
4233,4232,1217,428,2,0,1,7,ok
